"UNIQUE","HORA08"
1,5.3
2,4
3,1.2
4,4.1
5,5.4
6,4.4
7,6
8,6.3
9,3.7
10,4.6
11,4.15
12,5.7
13,6.8
14,4.6
15,6.2
16,6.3
17,4.5
18,6.4
22,5.8
23,3.8
24,3.2
25,4.4
26,4.5
28,4.5
29,4.7
30,3.1
31,2.1
32,2.4
33,5.7
34,4.4
35,3.2
36,5
37,4.2
38,2.1
39,6.8
40,5.5
41,5.7
42,5.6
43,5.4
44,2.9
45,1.8
46,6.1
47,6.2
48,5.4
49,6.7
50,6.6
51,2
52,3
53,4.2
54,4.1
56,2.1
57,4.1
58,1.8
59,1.9
60,4.1
61,3.7
62,5.1
63,5.6
64,4.2
65,2.1
66,1.6
67,5.7
68,4.6
69,3.8
70,2.9
71,3.4
72,3.15
73,3.275
74,3.5
75,6.6
76,6.8
77,3.9
78,3.8
79,2.7
80,2.1
81,5.2
82,3.9
83,3.9
84,3.2
85,5.5
86,2.2
87,3.2
88,4
89,6.5
92,4.8
93,3.9
94,3.1
95,3.6
96,5.9
97,3.7
98,2.3
99,1.4
100,1.8499999999999999
101,1.7
102,2.1
103,2.7
104,6.9
105,5.1
106,2.5
107,3.8
108,3.4
110,4.6
111,4.6
112,4.3
114,4
115,5.75
116,4.875
117,5.4
118,5.1375
119,6.8
120,2.2
121,5.5
122,2.2
123,3.85
124,3.0250000000000004
125,6.6
127,5.3
128,4.4
129,4.3
130,5.1
131,6.1
132,6.5
134,3.2
135,6.7
136,4.95
137,5.7
138,4.9
139,6.3
140,5.4
141,4.9
142,3.3
143,4.2
144,5.6
145,3.7
146,4.2
150,2.2
151,5.1
152,4.4
153,4
154,3.4
155,1.5
156,2.4
157,2.2
158,4.1
159,2.6
160,3.8
161,2
162,2.8
163,0.9
164,0.6
165,3.3
166,3.6
167,5.8
168,1.7
169,2.8
170,2.4
171,0.6
172,2.4
173,3.4
174,3.5
175,2.2
176,1.4
177,1.4
178,1.4
179,5
180,1.4
182,2.2
183,1.6
184,0.7
186,1.3
187,2.6
188,1.6
189,1.5
190,1.5
191,1.5
192,1.2
193,1.4
194,2.8
195,1.7
196,3.6
197,1.8
198,2.7
199,0.9
200,3.8
201,3
202,3.2
203,2.5
204,1.6
205,3.3
206,0.9
207,1.9
208,1.3
209,3
210,2.4
211,0.9
212,2
213,1
214,2.2
215,3.3
216,2.2
217,1
218,2.3
219,1.2
221,3.3
222,2
223,1.3
224,2.1
225,3.1
226,2.8
227,1.4
228,4.5
229,1.2
230,2.8
231,3.8
232,3.8
233,2.1
235,2.2
236,2.4
237,3.4
238,4.4
239,3.3
240,2.8
241,0.8
242,1.3
243,3.5
244,3.1
245,5.5
246,5.3
248,2.1
249,3.9
250,4.5
251,3.9
252,4.6
253,3.6
254,1.1
255,2.4
256,2.2
257,2.3
258,0.8
259,3.5
260,2.15
263,6.8
264,4.6
265,4.9
266,4.5
267,1.5
269,2.4
270,1.5
271,2.7
272,2.3
273,3.6
274,0.9
276,0.8
277,3.2
278,3.8
279,3.8
280,4.5
281,6.4
282,2.5
283,0.7
284,0.6
285,3.3
286,1.2
287,3.4
288,4.6
289,1.8
291,4.8
292,3.7
293,3.2
294,4.1
295,4.4
296,0.8
297,1.1
298,3.6
299,3.3
300,2.4
301,3.7
302,3.05
303,3.375
304,1.8
305,2.5875
306,6.1
307,1.7
308,3.6
309,4.6
310,5.3
311,4.949999999999999
312,0.8
314,4.4
315,6.1
316,2.8
317,4.8
318,3
319,1.6
320,5.5
321,3.7
322,2.4
323,0.7
324,0.9
325,1.3
326,1.6
327,3.9
328,2.4
329,3.6
330,2.8
331,2.8
332,1.4
333,1.7
334,4
335,3.8
336,2.9
337,4.3
338,4
339,2
340,0.8
341,3.8
342,3.7
343,3.5
344,4.9
345,4.4
346,4.65
348,5.1
349,3.1
350,1.6
351,2.7
352,2.1500000000000004
353,0.8
355,2.3
356,3.8
357,1.5
358,1.4
361,1.5
362,0.7
363,3.6
364,1.4
365,2